#ResPipeUI	ARO_accession	ARO_name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	Antibiotic	Efflux_Component	Efflux_Regulator	CVTERMID	gb	Species	SeqLength
3003223_U00096	ARO:3003223	Escherichia coli 16S rRNA mutation conferring resistance to edeine	16s_rRNA_with_mutation_conferring_resistance_to_peptide_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;confers_resistance_to_drug__edeine_A;confers_resistance_to_drug__edeine_B;confers_resistance_to_drug__edeine_D;confers_resistance_to_drug__edeine_F;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	39807	U00096	Escherichia coli K-12	1542
3003686_AE004091.2	ARO:3003686	Pseudomonas aeruginosa oprD with mutation conferring resistance to imipenem	Outer_Membrane_Porin_(Opr)	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced_permeability_to_antibiotic	confers_resistance_to_drug__imipenem	Unassigned	Unassigned	40321	AE004091.2	Pseudomonas aeruginosa PAO1	1332
3003941_AE005674.2	ARO:3003941	Shigella flexneri parC conferring resistance to fluoroquinolones	fluoroquinolone_resistant_parC	fluoroquinolone_antibiotic	antibiotic_target_alteration	ciprofloxacin;levofloxacin;confers_resistance_to_drug__nalidixic_acid;confers_resistance_to_drug__norfloxacin;ofloxacin;pefloxacin	Unassigned	Unassigned	40666	AE005674.2	Shigella flexneri 2a str. 301	2259
3003926_AE006468.2	ARO:3003926	Salmonella enterica gyrA conferring resistance to fluoroquinolones	fluoroquinolone_resistant_gyrA	fluoroquinolone_antibiotic;nybomycin	antibiotic_target_alteration	confers_resistance_to_drug__ciprofloxacin;confers_resistance_to_drug__nalidixic_acid	Unassigned	Unassigned	40635	AE006468.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	2637
3003042_AE007317.1	ARO:3003042	Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin	Penicillin-binding_protein_mutations_conferring_resistance_to_beta-lactam_antibiotics	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic_target_alteration	cefoxitin;cloxacillin;methicillin;carbenicillin;penicillin;oxacillin;cefazolin;cefepime;ceftazidime;ceftobiprole;ceftriaxone;cefuroxime;confers_resistance_to_drug__amoxicillin;ertapenem;meropenem;piperacillin;imipenem;aztreonam;benzylpenicillin;phenoxymethylpenicillin;propicillin;dicloxacillin;flucloxacillin;ampicillin;azlocillin;mezlocillin;doripenem;cefalexin;cefadroxil;cefotiam;cefaclor;cefotaxime;cefixime;cefpodoxime;ceftibuten;cefditoren;cefdinir;ceftaroline;cefalotin;isopenicillin_N;penicillin_N;mecillinam;cefmetazole;cefonicid;cefprozil;ceftiofur;ceftizoxime;cephapirin;cefradine;loracarbef;moxalactam	Unassigned	Unassigned	39476	AE007317.1	Streptococcus pneumoniae R6	2058
3002682_AF226276.1	ARO:3002682	catD	chloramphenicol_acetyltransferase_(CAT)	phenicol_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__azidamfenicol;confers_resistance_to_drug__chloramphenicol;confers_resistance_to_drug__thiamphenicol	Unassigned	Unassigned	39116	AF226276.1	Clostridioides difficile	624
3003368_AH002539.2	ARO:3003368	Escherichia coli EF-Tu mutants conferring resistance to kirromycin	elfamycin_resistant_EF-Tu	elfamycin_antibiotic	antibiotic_target_alteration	pulvomycin;GE2270A;enacyloxin_IIa;LFF571	Unassigned	Unassigned	39952	AH002539.2	Escherichia coli	1185
3003727_AP008230.1	ARO:3003727	vanKI	glycopeptide_resistance_gene_cluster	glycopeptide_antibiotic	antibiotic_target_alteration	Unassigned	Unassigned	Unassigned	40384	AP008230.1	Desulfitobacterium hafniense Y51	1128
3003853_AY648950.1	ARO:3003853	ADC-7	ADC_beta-lactamase_without_carbapenemase_activity	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40552	AY648950.1	Acinetobacter baumannii	1152
3003285_BX571856.1	ARO:3003285	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	rifamycin-resistant_beta-subunit_of_RNA_polymerase_(rpoB)	peptide_antibiotic;rifamycin_antibiotic	antibiotic_target_alteration;antibiotic_target_replacement	confers_resistance_to_drug__rifampin;confers_resistance_to_drug__rifaximin;confers_resistance_to_drug__rifabutin;confers_resistance_to_drug__rifapentine	Unassigned	Unassigned	39869	BX571856.1	Staphylococcus aureus subsp. aureus MRSA252	3552
3003296_CP012011.1	ARO:3003296	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	fluoroquinolone_resistant_gyrA	fluoroquinolone_antibiotic;nybomycin	antibiotic_target_alteration	confers_resistance_to_drug__enoxacin;confers_resistance_to_drug__ciprofloxacin;confers_resistance_to_drug__levofloxacin;confers_resistance_to_drug__moxifloxacin;confers_resistance_to_drug__gatifloxacin;confers_resistance_to_drug__lomefloxacin;confers_resistance_to_drug__nalidixic_acid;confers_resistance_to_drug__norfloxacin;confers_resistance_to_drug__ofloxacin;confers_resistance_to_drug__trovafloxacin;confers_resistance_to_drug__grepafloxacin;confers_resistance_to_drug__sparfloxacin;confers_resistance_to_drug__pefloxacin	Unassigned	Unassigned	39880	CP012011.1	Staphylococcus aureus subsp. aureus	2661
3000838_CP023390.1	ARO:3000838	arlR	major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump	acridine_dye;antibacterial_free_fatty_acids;benzalkonium_chloride;bicyclomycin;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;fosfomycin;glycylcycline;isoniazid;lincosamide_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;nucleoside_antibiotic;oxazolidinone_antibiotic;penam;peptide_antibiotic;phenicol_antibiotic;rhodamine;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	ciprofloxacin;acriflavine;norfloxacin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	protein(s)_and_two-component_regulatory_system_modulating_antibiotic_efflux	37218	CP023390.1	Staphylococcus aureus subsp. aureus str. Newman	660
3003893_HG738867	ARO:3003893	Escherichia coli UhpA with mutation conferring resistance to fosfomycin	UhpA_UhpT	fosfomycin	antibiotic_target_alteration	Unassigned	Unassigned	Unassigned	40595	HG738867	Escherichia coli str. K-12 substr. MC4100	591
3003319_HM140977	ARO:3003319	Staphylococcus aureus mprF with mutation conferring resistance to daptomycin	daptomycin_resistant_mprF	peptide_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__daptomycin	Unassigned	Unassigned	39903	HM140977	Staphylococcus aureus	2511
3003866_KP881240.1	ARO:3003866	ADC-22	ADC_beta-lactamase_without_carbapenemase_activity	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40565	KP881240.1	Acinetobacter pittii	1152
3004453_M11587.1	ARO:3004453	Proteus mirabilis chloramphenicol acetyltransferase	chloramphenicol_acetyltransferase_(CAT)	phenicol_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__chloramphenicol	Unassigned	Unassigned	41664	M11587.1	Bacillus clausii	654
3004049_NC_000913.3	ARO:3004049	Escherichia coli fabG mutations conferring resistance to triclosan	antibiotic_resistance_fabG	triclosan	antibiotic_target_alteration	Unassigned	Unassigned	Unassigned	41114	NC_000913.3	Escherichia coli str. K-12 substr. MG1655	735
3004290_NC_000913.3	ARO:3004290	Escherichia coli ampC beta-lactamase	ampC-type_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	confers_resistance_to_drug__penicillin	Unassigned	Unassigned	41454	NC_000913.3	Escherichia coli str. K-12 substr. MG1655	1134
3004166_NR_076151.1	ARO:3004166	Mycobacterium intracellulare 23S rRNA with mutation conferring resistance to clarithromycin	23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics	glycopeptide_antibiotic;lincosamide_antibiotic;macrolide_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	lincomycin;confers_resistance_to_drug__clarithromycin;clindamycin;azidamfenicol;chloramphenicol;thiamphenicol;florfenicol;pristinamycin_IA;quinupristin;pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin;pristinamycin_IB;virginiamycin_S2;vernamycin_B-gamma;vernamycin_C;patricin_A;ostreogrycin_B3;bleomycinic_acid;bleomycin_A2;bleomycin_B2	Unassigned	Unassigned	41315	NR_076151.1	Mycobacterium intracellulare	3103
3003294_U00096.3	ARO:3003294	Escherichia coli gyrA conferring resistance to fluoroquinolones	fluoroquinolone_resistant_gyrA	fluoroquinolone_antibiotic;nybomycin	antibiotic_target_alteration	confers_resistance_to_drug__enoxacin;confers_resistance_to_drug__ciprofloxacin;confers_resistance_to_drug__levofloxacin;confers_resistance_to_drug__moxifloxacin;confers_resistance_to_drug__gatifloxacin;confers_resistance_to_drug__lomefloxacin;confers_resistance_to_drug__nalidixic_acid;confers_resistance_to_drug__norfloxacin;confers_resistance_to_drug__ofloxacin;confers_resistance_to_drug__trovafloxacin;confers_resistance_to_drug__grepafloxacin;confers_resistance_to_drug__sparfloxacin;confers_resistance_to_drug__pefloxacin	Unassigned	Unassigned	39878	U00096.3	Escherichia coli str. K-12 substr. MG1655	2628
3003485_AB001778.1	ARO:3003485	Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;confers_resistance_to_drug__spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40087	AB001778.1	Chlamydia psittaci 6BC	1507
3003702_AB003428.1	ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	fluoroquinolone_resistant_parC	fluoroquinolone_antibiotic;nybomycin	antibiotic_target_alteration	ciprofloxacin;levofloxacin;norfloxacin;ofloxacin;sparfloxacin;pefloxacin;sitafloxacin	Unassigned	Unassigned	40355	AB003428.1	Pseudomonas aeruginosa	2265
3002493_AB008454	ARO:3002493	SRT-1	SRT_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38893	AB008454	Serratia marcescens	1137
3002194_AB010417	ARO:3002194	IMP-3	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38594	AB010417	Shigella flexneri	741
3004169_AB011184.1	ARO:3004169	Mycolicibacterium smegmatis 23S rRNA with mutation conferring resistance to clarithromycin	23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics	glycopeptide_antibiotic;lincosamide_antibiotic;macrolide_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	lincomycin;confers_resistance_to_drug__clarithromycin;clindamycin;azidamfenicol;chloramphenicol;thiamphenicol;florfenicol;pristinamycin_IA;quinupristin;pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin;pristinamycin_IB;virginiamycin_S2;vernamycin_B-gamma;vernamycin_C;patricin_A;ostreogrycin_B3;bleomycinic_acid;bleomycin_A2;bleomycin_B2	Unassigned	Unassigned	41319	AB011184.1	Mycolicibacterium smegmatis	3162
3000319_AB013298.1	ARO:3000319	mphC	macrolide_phosphotransferase_(MPH)	macrolide_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__erythromycin;confers_resistance_to_drug__roxithromycin;confers_resistance_to_drug__telithromycin;confers_resistance_to_drug__clarithromycin;confers_resistance_to_drug__tylosin;confers_resistance_to_drug__spiramycin;confers_resistance_to_drug__azithromycin;confers_resistance_to_drug__dirithromycin;confers_resistance_to_drug__oleandomycin	Unassigned	Unassigned	36458	AB013298.1	Staphylococcus aureus	900
3002825_AB014481	ARO:3002825	ErmY	Erm_23S_ribosomal_RNA_methyltransferase	lincosamide_antibiotic;macrolide_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	Unassigned	Unassigned	Unassigned	39259	AB014481	Staphylococcus aureus	735
3003033_AB015853	ARO:3003033	mexY	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	erythromycin;amikacin;gentamicin_C;ciprofloxacin;acriflavine;tetracycline;tobramycin;meropenem;chloramphenicol;arbekacin;norfloxacin;ofloxacin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39467	AB015853	Pseudomonas aeruginosa PAO1	3141
3003034_AB015853	ARO:3003034	mexX	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	erythromycin;amikacin;gentamicin_C;ciprofloxacin;acriflavine;tetracycline;tobramycin;meropenem;chloramphenicol;arbekacin;norfloxacin;ofloxacin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39468	AB015853	Pseudomonas aeruginosa PAO1	1170
3003788_AB016245	ARO:3003788	Bacillus subtilis pgsA with mutation conferring resistance to daptomycin	daptomycin_resistant_pgsA	peptide_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__daptomycin	Unassigned	Unassigned	40473	AB016245	Bacillus subtilis	1143
3000423_AB016934	ARO:3000423	FomA	Fom_phosphotransferase_family	fosfomycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	36562	AB016934	Streptomyces wedmorensis	801
3000449_AB016934	ARO:3000449	FomB	Fom_phosphotransferase_family	fosfomycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	36588	AB016934	Streptomyces wedmorensis	993
3001082_AB023477	ARO:3001082	SHV-24	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37462	AB023477	Escherichia coli	861
3002544_AB028210.1	ARO:3002544	AAC(3)-Xa	AAC(3)	aminoglycoside_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__kanamycin_A	Unassigned	Unassigned	38944	AB028210.1	Streptomyces griseus	855
3002197_AB040994	ARO:3002197	IMP-6	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38597	AB040994	Serratia marcescens	741
3000958_AB049569	ARO:3000958	TEM-91	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37338	AB049569	Escherichia coli	861
3002020_AB061794	ARO:3002020	CMY-9	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38420	AB061794	Escherichia coli	1149
3002201_AB074433	ARO:3002201	IMP-10	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38601	AB074433	Pseudomonas aeruginosa	741
3002202_AB074436	ARO:3002202	IMP-11	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38602	AB074436	Acinetobacter baumannii	738
3004455_AB080798.1	ARO:3004455	Streptococcus suis chloramphenicol acetyltransferase	chloramphenicol_acetyltransferase_(CAT)	phenicol_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__chloramphenicol	Unassigned	Unassigned	41666	AB080798.1	Streptococcus suis	651
3000859_AB083212	ARO:3000859	rmtA	16S_rRNA_methyltransferase_(G1405)	aminoglycoside_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__dibekacin;confers_resistance_to_drug__amikacin;confers_resistance_to_drug__gentamicin_C;confers_resistance_to_drug__sisomicin;confers_resistance_to_drug__netilmicin;confers_resistance_to_drug__kanamycin_A;confers_resistance_to_drug__tobramycin;confers_resistance_to_drug__isepamicin;confers_resistance_to_drug__G418;confers_resistance_to_drug__arbekacin;confers_resistance_to_drug__gentamicin_B	Unassigned	Unassigned	37239	AB083212	Pseudomonas aeruginosa	756
3000166_AB089595	ARO:3000166	tet(B)	major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump	acridine_dye;antibacterial_free_fatty_acids;benzalkonium_chloride;bicyclomycin;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;fosfomycin;glycylcycline;isoniazid;lincosamide_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;nucleoside_antibiotic;oxazolidinone_antibiotic;penam;peptide_antibiotic;phenicol_antibiotic;rhodamine;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	confers_resistance_to_drug__tetracycline	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	36305	AB089595	Gram-negative bacterium TC71	1206
